,Name,County,Acres,Start Date,Containment Date,Year,Number of days the fire was on
116,Round,Inyo,7000,6-Feb-15,12-Feb-15,2015,6
117,Highway,Riverside,1049,18-Apr-15,24-Apr-15,2015,6
118,Lake,San Bernardino,31359,17-Jun-15,1-Aug-15,2015,45
119,Park Hill,San Luis Obispo,1791,20-Jun-15,24-Jun-15,2015,4
120,North,San Bernardino,4250,17-Jul-15,21-Jul-15,2015,4
121,Wragg,Napa,8051,22-Jul-15,6-Aug-15,2015,15
122,Rocky,Lake,69438,29-Jul-15,14-Aug-15,2015,16
123,Fork Complex,Shasta,36503,30-Jul-15,3-Nov-15,2015,96
124,River Complex,Trinity,77081,30-Jul-15,29-Oct-15,2015,91
125,Frog,Lassen,4863,30-Jul-15,20-Aug-15,2015,21
126,Humboldt Lightning,Humboldt,4883,30-Jul-15,19-Aug-15,2015,20
127,Mad River Complex,Humboldt,73137,30-Jul-15,13-Sep-15,2015,45
128,Rough,Fresno,151623,31-Jul-15,5-Nov-15,2015,97
129,Dodge,Lassen,10570,3-Aug-15,17-Aug-15,2015,14
130,Gasquet,Del Norte,30361,3-Aug-15,15-Oct-15,2015,73
131,Jerusalem,Lake and Napa,25118,9-Aug-15,25-Aug-15,2015,16
132,Cabin,Glendora,1723,14-Aug-15,20-Nov-15,2015,98
133,Cuesta,San Luis Obispo,2446,16-Aug-15,28-Aug-15,2015,12
134,Tesla,Alameda,2700,19-Aug-15,22-Aug-15,2015,3
135,Butte,Amador,70868,9-Sep-15,1-Oct-15,2015,22
136,Valley,Lake,76067,12-Sep-15,6-Oct-15,2015,24
137,Tassajara,Monterey,1086,19-Sep-15,27-Sep-15,2015,8
138,Solimar,Ventura,1388,25-Dec-15,29-Dec-15,2015,4
139,Roberts,San Luis Obispo,3712,18-May-16,20-May-16,2016,2
140,Metz,Monterey,3876,22-May-16,25-May-16,2016,3
141,Coleman,Monterey,2520,4-Jun-16,17-Jun-16,2016,13
142,Pony,Siskiyou,2860,7-Jun-16,30-Jun-16,2016,23
143,Sherpa,Santa Barbara,7474,15-Jun-16,12-Jul-16,2016,27
144,Border,San Diego,7609,19-Jun-16,30-Jun-16,2016,11
145,Pine,Ventura,2304,19-Jun-16,17-Jul-16,2016,28
146,San Gabriel Complex,Los Angeles,5399,20-Jun-16,23-Jul-16,2016,33
147,Erskine,Kern,48019,23-Jun-16,12-Jul-16,2016,19
148,Trailhead,Placer,5646,28-Jun-16,18-Jul-16,2016,20
149,Deer,Kern,1785,1-Jul-16,11-Jul-16,2016,10
150,Curry,Fresno,2944,1-Jul-16,5-Jul-16,2016,4
151,Sage,Los Angeles,1109,9-Jul-16,16-Jul-16,2016,7
152,Roblar,San Diego,1245,21-Jul-16,30-Jul-16,2016,9
153,Sand,Los Angeles,41432,22-Jul-16,3-Aug-16,2016,12
154,Soberanes,Monterey,132100,22-Jul-16,12-Oct-16,2016,82
